status,challenge,victim,attacker,flag,ts
RIGHT,WEB1,192.168.0.7:80,wangyihang,1b8bd6c2-3b27-47b8-9726-70c51b36dfd8,1537059335.05
RIGHT,WEB1,192.168.0.7:80,wangyihang,1b8bd6c2-3b27-47b8-9726-70c51b36dfd8,1537059335.06
RIGHT,WEB1,192.168.0.7:80,wangyihang,1b8bd6c2-3b27-47b8-9726-70c51b36dfd8,1537059335.06
RIGHT,WEB1,192.168.0.7:80,wangyihang,1b8bd6c2-3b27-47b8-9726-70c51b36dfd8,1537059335.08
RIGHT,WEB1,192.168.0.7:80,wangyihang,1b8bd6c2-3b27-47b8-9726-70c51b36dfd8,1537059335.09
RIGHT,WEB1,192.168.0.7:80,wangyihang,1b8bd6c2-3b27-47b8-9726-70c51b36dfd8,1537059335.11
RIGHT,WEB1,192.168.0.7:80,wangyihang,1b8bd6c2-3b27-47b8-9726-70c51b36dfd8,1537059335.11
RIGHT,WEB1,192.168.0.7:80,wangyihang,1b8bd6c2-3b27-47b8-9726-70c51b36dfd8,1537059335.13
RIGHT,WEB1,192.168.0.7:80,wangyihang,1b8bd6c2-3b27-47b8-9726-70c51b36dfd8,1537059335.14
RIGHT,WEB1,192.168.0.7:80,wangyihang,1b8bd6c2-3b27-47b8-9726-70c51b36dfd8,1537059335.16
RIGHT,WEB1,192.168.0.7:80,wangyihang,1b8bd6c2-3b27-47b8-9726-70c51b36dfd8,1537059335.17
RIGHT,WEB1,192.168.0.7:80,wangyihang,1b8bd6c2-3b27-47b8-9726-70c51b36dfd8,1537059335.19
RIGHT,WEB1,192.168.0.7:80,wangyihang,1b8bd6c2-3b27-47b8-9726-70c51b36dfd8,1537059335.2
RIGHT,WEB1,192.168.0.7:80,wangyihang,1b8bd6c2-3b27-47b8-9726-70c51b36dfd8,1537059335.21
RIGHT,WEB1,192.168.0.7:80,wangyihang,1b8bd6c2-3b27-47b8-9726-70c51b36dfd8,1537059335.22
RIGHT,WEB1,192.168.0.7:80,wangyihang,1b8bd6c2-3b27-47b8-9726-70c51b36dfd8,1537059335.24
RIGHT,WEB1,192.168.0.7:80,wangyihang,1b8bd6c2-3b27-47b8-9726-70c51b36dfd8,1537059335.25
RIGHT,WEB1,192.168.0.7:80,wangyihang,1b8bd6c2-3b27-47b8-9726-70c51b36dfd8,1537059335.27
RIGHT,WEB1,192.168.0.7:80,wangyihang,1b8bd6c2-3b27-47b8-9726-70c51b36dfd8,1537059335.27
